businesszip,target
,1.3982300884955752
01545-0062,0.008849557522123894
01752,0.017699115044247787
01923,0.008849557522123894
02062,0.008849557522123894
02109,0.008849557522123894
02114,0.008849557522123894
02114-9693,0.008849557522123894
02138,0.008849557522123894
02139,0.02654867256637168
02142,0.017699115044247787
02205-5126,0.008849557522123894
02284-8444,0.008849557522123894
02370,0.008849557522123894
02421,0.008849557522123894
02451-1457,0.008849557522123894
02852,0.017699115044247787
02902,0.008849557522123894
04915,0.02654867256637168
04915-4085,0.008849557522123894
06067,0.008849557522123894
06103,0.008849557522123894
06370,0.008849557522123894
06461-1776,0.008849557522123894
06510,0.008849557522123894
06877-0368,0.02654867256637168
06901,0.008849557522123894
07004,0.008849557522123894
07033,0.008849557522123894
07054,0.07964601769911504
07059,0.008849557522123894
07083,0.008849557522123894
07101-8138,0.017699115044247787
07417,0.05309734513274336
07932,0.008849557522123894
07936,0.008849557522123894
07936-1080,0.02654867256637168
08512,0.008849557522123894
08520,0.008849557522123894
08536,0.017699115044247787
08540,0.017699115044247787
08560,0.017699115044247787
08807,0.04424778761061947
08820,0.008849557522123894
08869,0.017699115044247787
08873-4120,0.008849557522123894
08933,0.3274336283185841
10017,0.1592920353982301
10022,0.008849557522123894
10023-7691,0.017699115044247787
10025,0.008849557522123894
10105,0.017699115044247787
10154,0.035398230088495575
10214,0.017699115044247787
10276-1018,0.008849557522123894
10605,0.008849557522123894
10605-1518,0.008849557522123894
11220,0.008849557522123894
11735,0.017699115044247787
11735-0406,0.008849557522123894
11747,0.008849557522123894
12095,0.017699115044247787
13057,0.008849557522123894
15205-9741,0.008849557522123894
15317,0.035398230088495575
17050,0.008849557522123894
17822-4910,0.008849557522123894
18940,0.008849557522123894
19020,0.008849557522123894
19031,0.008849557522123894
19044-2219,0.02654867256637168
19047,0.017699115044247787
19087,0.008849557522123894
19101-1820,0.008849557522123894
19106,0.008849557522123894
19112,0.017699115044247787
19147,0.017699115044247787
19178-2222,0.008849557522123894
19341,0.02654867256637168
19355,0.017699115044247787
19406,0.25663716814159293
19454,0.008849557522123894
19456,0.008849557522123894
19850-5437,0.035398230088495575
19901,0.008849557522123894
20003,0.008849557522123894
20004,0.008849557522123894
20036,0.008849557522123894
20037,0.008849557522123894
20166,0.008849557522123894
20420,0.008849557522123894
20850,0.008849557522123894
21201,0.008849557522123894
22102,0.008849557522123894
23060,0.008849557522123894
23219,0.008849557522123894
23219-1441,0.008849557522123894
23235,0.008849557522123894
23466,0.02654867256637168
26505,0.008849557522123894
27215,0.02654867256637168
27216,0.22123893805309736
27216-2240,0.008849557522123894
27216-8008,0.008849557522123894
27409-9725,0.008849557522123894
27511,0.008849557522123894
27560,0.008849557522123894
27607,0.008849557522123894
27615,0.008849557522123894
27616,0.008849557522123894
28273,0.008849557522123894
28289-6020,0.008849557522123894
28504,0.008849557522123894
29464,0.017699115044247787
29502-0559,0.008849557522123894
29910,0.008849557522123894
30023,0.008849557522123894
30024,0.008849557522123894
30043,0.008849557522123894
30045,0.017699115044247787
30046,0.008849557522123894
30047,0.008849557522123894
30078,0.008849557522123894
30091,0.008849557522123894
30096,0.008849557522123894
30096-4980,0.017699115044247787
30162,0.008849557522123894
30305-2457,0.008849557522123894
30329,0.008849557522123894
30384,0.04424778761061947
30907,0.008849557522123894
32207,0.008849557522123894
32331,0.008849557522123894
32809,0.008849557522123894
33075-8757,0.008849557522123894
33132,0.008849557522123894
33322-4113,0.008849557522123894
33323-2853,0.008849557522123894
33411,0.008849557522123894
33441,0.008849557522123894
33483,0.008849557522123894
33491-4117,0.008849557522123894
33558,0.008849557522123894
33609,0.035398230088495575
33634-2292,0.008849557522123894
33711-4511,0.008849557522123894
33764,0.008849557522123894
34230,0.008849557522123894
34293-5438,0.008849557522123894
34482,0.008849557522123894
35283,0.008849557522123894
36527,0.008849557522123894
37027,0.017699115044247787
37210-4531,0.008849557522123894
37219,0.07964601769911504
37219-1757,0.02654867256637168
37409,0.02654867256637168
37422,0.008849557522123894
37620,0.008849557522123894
37919,0.008849557522123894
37950-9003,0.008849557522123894
38000-9,0.008849557522123894
38301,0.04424778761061947
40201,0.008849557522123894
40202,0.008849557522123894
40742-8304,0.008849557522123894
43206,0.008849557522123894
44004-6634,0.008849557522123894
44131,0.061946902654867256
44241,0.008849557522123894
44333-8203,0.017699115044247787
45040,0.008849557522123894
45201,0.008849557522123894
45255,0.008849557522123894
45263-4720,0.008849557522123894
45274-0021,0.017699115044247787
46032,0.008849557522123894
46206,0.017699115044247787
46206-0423,0.008849557522123894
46206-1307,0.008849557522123894
46206-2429,0.008849557522123894
46206-3308,0.017699115044247787
46206-3341,0.008849557522123894
46206-4781,0.008849557522123894
46285,0.061946902654867256
48098-2808,0.008849557522123894
48237,0.008849557522123894
48335-1667,0.017699115044247787
49010,0.008849557522123894
49528-0103,0.07079646017699115
52328,0.02654867256637168
53188,0.008849557522123894
53214,0.008849557522123894
53719,0.008849557522123894
54307,0.008849557522123894
55117-9983,0.008849557522123894
55125,0.008849557522123894
55337,0.008849557522123894
55344,0.02654867256637168
55402,0.1415929203539823
55428,0.008849557522123894
55429-1712,0.008849557522123894
55805,0.008849557522123894
58103,0.008849557522123894
60005,0.017699115044247787
60008,0.02654867256637168
60015,0.02654867256637168
60026,0.02654867256637168
60055-9717,0.008849557522123894
60061,0.008849557522123894
60062,0.02654867256637168
60064,0.02654867256637168
60069,0.008849557522123894
60179-0001,0.008849557522123894
60440-4909,0.11504424778761062
60451,0.008849557522123894
60611,0.008849557522123894
60631,0.008849557522123894
60654,0.008849557522123894
60673,0.017699115044247787
60673-1252,0.008849557522123894
60675-1135,0.008849557522123894
60680-1087,0.07079646017699115
60694-5530,0.008849557522123894
61802,0.008849557522123894
63042,0.008849557522123894
63121,0.34513274336283184
63179,0.008849557522123894
63179-0361,0.008849557522123894
63195-4041,0.008849557522123894
63353,0.02654867256637168
63640,0.008849557522123894
64081,0.008849557522123894
65734,0.008849557522123894
67530,0.008849557522123894
70508,0.008849557522123894
70601,0.008849557522123894
70602,0.008849557522123894
72716,0.008849557522123894
73143,0.04424778761061947
73143-6208,0.02654867256637168
73143-6408,0.02654867256637168
73143-6736,0.008849557522123894
75019,0.02654867256637168
75034,0.017699115044247787
75057,0.05309734513274336
75080,0.008849557522123894
75206,0.008849557522123894
75266,0.008849557522123894
75266-0852,0.008849557522123894
75284-2151,0.008849557522123894
75374,0.008849557522123894
75391-5033,0.035398230088495575
75402-3017,0.008849557522123894
75755,0.02654867256637168
76099,0.008849557522123894
76548,0.008849557522123894
77072,0.008849557522123894
77210,0.017699115044247787
78205,0.008849557522123894
78238,0.008849557522123894
78265-9622,0.008849557522123894
78746,0.017699115044247787
78750,0.008849557522123894
78759,0.008849557522123894
78842-6008,0.008849557522123894
80021,0.008849557522123894
80109,0.008849557522123894
80111,0.02654867256637168
80112,0.008849557522123894
80202,0.008849557522123894
80203,0.008849557522123894
80212,0.39823008849557523
80215,0.008849557522123894
80216-1146,0.008849557522123894
80239-3136,0.008849557522123894
80901-0909,0.008849557522123894
80907,0.008849557522123894
83402,0.035398230088495575
83501,0.008849557522123894
83616,0.24778761061946902
83642,0.008849557522123894
83704,0.05309734513274336
83814,0.02654867256637168
83835,0.035398230088495575
83854,0.008849557522123894
84020,0.017699115044247787
84054,0.008849557522123894
84070-5324,0.008849557522123894
84093,0.017699115044247787
84124,0.008849557522123894
84130-0757,0.008849557522123894
85004,0.008849557522123894
85016,0.017699115044247787
85038-9338,0.008849557522123894
85071,0.008849557522123894
85210,0.05309734513274336
85259,0.017699115044247787
85260-2678,0.008849557522123894
85614,0.008849557522123894
85711,0.008849557522123894
85756,0.008849557522123894
86305,0.017699115044247787
87401,0.008849557522123894
87508,0.008849557522123894
88554,0.017699115044247787
89102,0.008849557522123894
89102-8592,0.017699115044247787
89117,0.008849557522123894
89119,0.008849557522123894
89121,0.008849557522123894
89133,0.008849557522123894
89193,0.008849557522123894
89193-9085,0.008849557522123894
89429,0.008849557522123894
89502,0.017699115044247787
89509,0.008849557522123894
90001,0.008849557522123894
90013,0.008849557522123894
90036,0.017699115044247787
90045,0.008849557522123894
90046,0.017699115044247787
90059,0.008849557522123894
90069,0.008849557522123894
90074,0.04424778761061947
90074-0046,0.02654867256637168
90074-0421,0.008849557522123894
90074-2997,0.017699115044247787
90074-3522,0.017699115044247787
90074-9730,0.008849557522123894
90212,0.02654867256637168
90264,0.008849557522123894
90801,0.04424778761061947
90834,0.008849557522123894
91066,0.05309734513274336
